1,0,0,0
2,0,0.02,0
3,0,0.04,0
4,0,0.06,0
5,0,0.08,0
6,0,0.1,0
7,0.02,0,0
8,0.02,0.02,0.95708
9,0.02,0.04,1.9667
10,0.02,0.06,3.0262
11,0.02,0.08,3.959
12,0.02,0.1,4.2525
13,0.04,0,0
14,0.04,0.02,1.8616
15,0.04,0.04,3.8834
16,0.04,0.06,6.1791
17,0.04,0.08,8.5575
18,0.04,0.1,9.0919
19,0.06,0,0
20,0.06,0.02,2.606
21,0.06,0.04,5.5263
22,0.06,0.06,9.2492
23,0.06,0.08,15
24,0.06,0.1,15
25,0.08,0,0
26,0.08,0.02,3.036
27,0.08,0.04,6.3668
28,0.08,0.06,10.291
29,0.08,0.08,15
30,0.1,0,0
31,0.1,0.02,3.1714
32,0.1,0.04,6.6135
33,0.1,0.06,10.549
34,0.1,0.08,15
